type,slice,grid_n,library,n_terms,noise,direction,alpha,delta_alpha,n_ic,n_noise,tpr,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,fpr_target,mean_angle_deg,detection_limit_delta_alpha,limit_lo,limit_hi,limit_censored_fraction,interp_ms,ref_interp_ms,derivative_ms,lstsq_ms,design_matrix_mb,design_rows
curve,noise,64,base5,5,gradient,weaken,0.5,0.5,60,5,0.625167,0.563663,0.685346,0.045833,0.028167,0.065671,0.05,13.9068,,,,,,,,,,
limit,noise,64,base5,5,gradient,weaken,,,60,5,,,,,,,0.05,13.9068,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,noise,64,base5,5,gradient,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,noise,64,base5,5,gradient,strengthen,1.1,0.1,60,5,0.070833,0.051329,0.090833,0.057667,0.040000,0.078500,0.05,3.6616,,,,,,,,,,
curve,noise,64,base5,5,gradient,strengthen,1.2,0.2,60,5,0.177833,0.138667,0.220837,0.049000,0.032500,0.067004,0.05,5.1201,,,,,,,,,,
curve,noise,64,base5,5,gradient,strengthen,1.3,0.3,60,5,0.263500,0.214996,0.314000,0.046167,0.029000,0.065000,0.05,7.4258,,,,,,,,,,
curve,noise,64,base5,5,gradient,strengthen,1.4,0.4,60,5,0.398833,0.340496,0.460167,0.059667,0.040833,0.081837,0.05,10.0108,,,,,,,,,,
curve,noise,64,base5,5,gradient,strengthen,1.5,0.5,60,5,0.504167,0.442167,0.566504,0.045167,0.028833,0.063667,0.05,12.9645,,,,,,,,,,
limit,noise,64,base5,5,gradient,strengthen,,,60,5,,,,,,,0.05,12.9645,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,noise,64,base5,5,multiplicative,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,weaken,0.9,0.1,60,5,0.085167,0.062163,0.109667,0.053667,0.035000,0.075337,0.05,3.3681,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,weaken,0.8,0.2,60,5,0.193833,0.152154,0.236004,0.054667,0.034167,0.079837,0.05,5.0953,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,weaken,0.7,0.3,60,5,0.268833,0.215000,0.324833,0.046000,0.026492,0.067671,0.05,7.2172,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,weaken,0.6,0.4,60,5,0.476833,0.416996,0.539171,0.053500,0.034333,0.075842,0.05,10.2804,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,weaken,0.5,0.5,60,5,0.604667,0.548496,0.658842,0.052667,0.034329,0.073500,0.05,13.8615,,,,,,,,,,
limit,noise,64,base5,5,multiplicative,weaken,,,60,5,,,,,,,0.05,13.8615,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,noise,64,base5,5,multiplicative,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,strengthen,1.1,0.1,60,5,0.093000,0.070662,0.118837,0.047333,0.029500,0.067333,0.05,3.6151,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,strengthen,1.2,0.2,60,5,0.201167,0.160333,0.242504,0.050500,0.032667,0.071833,0.05,5.4895,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,strengthen,1.3,0.3,60,5,0.312667,0.257663,0.370667,0.051500,0.032154,0.073837,0.05,7.8551,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,strengthen,1.4,0.4,60,5,0.497000,0.439163,0.552504,0.051000,0.033500,0.068504,0.05,10.5595,,,,,,,,,,
curve,noise,64,base5,5,multiplicative,strengthen,1.5,0.5,60,5,0.638333,0.583996,0.688167,0.047167,0.031167,0.064167,0.05,13.6085,,,,,,,,,,
limit,noise,64,base5,5,multiplicative,strengthen,,,60,5,,,,,,,0.05,13.6085,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,grid,96,base5,5,white,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,grid,96,base5,5,white,weaken,0.9,0.1,60,5,0.198667,0.144333,0.256337,0.050167,0.030496,0.071333,0.05,2.0392,,,,,,,,,,
curve,grid,96,base5,5,white,weaken,0.8,0.2,60,5,0.474833,0.405154,0.541000,0.051000,0.031496,0.074500,0.05,4.2624,,,,,,,,,,
curve,grid,96,base5,5,white,weaken,0.7,0.3,60,5,0.707667,0.652000,0.764167,0.050167,0.028667,0.076008,0.05,6.9398,,,,,,,,,,
curve,grid,96,base5,5,white,weaken,0.6,0.4,60,5,0.876500,0.841492,0.910675,0.045167,0.024667,0.067500,0.05,10.3801,,,,,,,,,,
curve,grid,96,base5,5,white,weaken,0.5,0.5,60,5,0.968667,0.953496,0.980500,0.051667,0.029167,0.077167,0.05,14.4653,,,,,,,,,,
limit,grid,96,base5,5,white,weaken,,,60,5,,,,,,,0.05,14.4653,0.5,0.5,0.5,0.0085,,,,,,
nominal,grid,96,base5,5,white,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,grid,96,base5,5,white,strengthen,1.1,0.1,60,5,0.162167,0.128662,0.195846,0.055000,0.034163,0.078000,0.05,1.9668,,,,,,,,,,
curve,grid,96,base5,5,white,strengthen,1.2,0.2,60,5,0.389667,0.342992,0.433671,0.051333,0.032163,0.071671,0.05,3.6255,,,,,,,,,,
curve,grid,96,base5,5,white,strengthen,1.3,0.3,60,5,0.636833,0.587667,0.686171,0.049000,0.030333,0.069167,0.05,5.3125,,,,,,,,,,
curve,grid,96,base5,5,white,strengthen,1.4,0.4,60,5,0.790000,0.756492,0.822667,0.052667,0.033667,0.075004,0.05,7.1777,,,,,,,,,,
curve,grid,96,base5,5,white,strengthen,1.5,0.5,60,5,0.867500,0.849833,0.886667,0.056667,0.036500,0.079000,0.05,9.1900,,,,,,,,,,
limit,grid,96,base5,5,white,strengthen,,,60,5,,,,,,,0.05,9.1900,>0.5,>0.5,>0.5,1.0000,,,,,,
cost_grid,,32,,,,,,,,,,,,,,,,,,,,,3.0573,29.5049,0.0888,,,784
cost_library,,32,base5,5,,,,,,,,,,,,,,,,,,,,,,0.0350,0.0314,784
cost_grid,,48,,,,,,,,,,,,,,,,,,,,,3.1127,28.6466,0.1040,,,1936
cost_library,,48,base5,5,,,,,,,,,,,,,,,,,,,,,,0.0618,0.0774,1936
cost_grid,,64,,,,,,,,,,,,,,,,,,,,,3.1939,28.7634,0.1281,,,3600
cost_library,,64,base5,5,,,,,,,,,,,,,,,,,,,,,,0.1082,0.1440,3600
cost_library,,64,first_plus_base7,7,,,,,,,,,,,,,,,,,,,,,,0.1514,0.2016,3600
cost_library,,64,full9,9,,,,,,,,,,,,,,,,,,,,,,0.2078,0.2592,3600
cost_library,,64,mixed_plus_base7,7,,,,,,,,,,,,,,,,,,,,,,0.1508,0.2016,3600
cost_library,,64,second3,3,,,,,,,,,,,,,,,,,,,,,,0.0624,0.0864,3600
cost_grid,,96,,,,,,,,,,,,,,,,,,,,,3.4048,29.0460,0.1891,,,8464
cost_library,,96,base5,5,,,,,,,,,,,,,,,,,,,,,,0.2253,0.3386,8464
